studyid,class,n,mean_change,sd_change,source,pooled_sd_study,z_mean_change,z_sd_change,treatment_id
Elkin 1989/Imber 1990,Placebo,62,-6.3,6.79117073853986,baseline_followup,6.8244928110197005,-0.9231455251630147,1,trt_031
Elkin 1989/Imber 1990,TCAs,57,-9.7,6.79117073853986,baseline_followup,6.8244928110197005,-1.4213510466795622,1,trt_046
Emsley 2018,Placebo,106,-9.5,5.97745765355138,baseline_followup,5.853665180005083,-1.622914824792174,1,trt_031
Emsley 2018,SSRIs,98,-13.6,5.71664237118258,baseline_followup,5.853665180005083,-2.323330696544586,1,trt_039
FDA 244 (EMD 68 843-009),Placebo,95,-9.3,7.8,change_from_baseline,7.609219393618493,-1.2222015845409173,1,trt_031
FDA 244 (EMD 68 843-009),SSRIs,89,-9.1,7.3999999999999995,change_from_baseline,7.609219393618493,-1.1959176794970265,1,trt_039
FDA 245 (EMD 68 843-010),Placebo,99,-10.2,7.96,change_from_baseline,7.821712657013737,-1.304062223617183,1,trt_031
FDA 245 (EMD 68 843-010),SSRIs,92,-11.1,7.67,change_from_baseline,7.821712657013737,-1.419126537465758,1,trt_039
Fabre 1992,Placebo,36,-3.06,8.1,change_from_baseline,8.109401950822267,-0.37733978640554694,1,trt_031
Fabre 1992,SSRIs,38,-9.13,8.13702648391905,change_from_baseline,8.109401950822267,-1.1258536764322367,1,trt_039
Fabre 1992,TCAs,37,-7.62,8.09007416529663,change_from_baseline,8.109401950822267,-0.9396500563432247,1,trt_046
Fabre 1995a,Placebo,86,-7.6000000000000005,7.5,change_from_baseline,13.41509532611288,-0.5665259780306127,1,trt_031
Fabre 1995a,SSRIs,261,-29.6,14.846211637990345,change_from_baseline,13.41509532611288,-2.206469598645544,1,trt_039
Fagiolini 2020,SNRIs,152,-14.700000000000001,6.56,change_from_baseline,6.696624878392455,-2.195135649218085,1,trt_038
Fagiolini 2020,Trazodone,165,-12.9,6.82,change_from_baseline,6.696624878392455,-1.9263435289056665,1,trt_047
