comparison,treat1,treat2,TE_direct,seTE_direct,lower_direct,upper_direct,statistic_direct,p_direct,n_direct,Q_direct,tau2_direct,tau_direct,I2_direct,TE_indirect,seTE_indirect,lower_indirect,upper_indirect,statistic_indirect,p_indirect,TE_network,seTE_network,lower_network,upper_network,statistic_network,p_network,TE_difference,seTE_difference,lower_diff,upper_diff,statistic_diff,p_inconsistency,z_score,inconsistent
Exercise group + AD:Exercise individual,Exercise group + AD,Exercise individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.69106155117512,0.7260215638151462,-4.114037668252255,-1.2680854340979855,-3.7065862576229165,2.1007170951089013e-4,-2.69106155117512,0.7260215638151462,-4.114037668252255,-1.2680854340979855,-3.7065862576229165,2.1007170951089013e-4,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Exercise individual + AD,Exercise group + AD,Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996407832860954,0.785904737971514,-3.536752814564509,-0.45606285115739875,-2.54026695145502,0.011076788685600783,-1.996407832860954,0.785904737971514,-3.536752814564509,-0.45606285115739875,-2.54026695145502,0.011076788685600783,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Interpersonal psychotherapy (IPT) individual,Exercise group + AD,Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8906106000375655,0.7128047839574535,-4.287682304602028,-1.4935388954731028,-4.055262626029321,5.007800529093673e-5,-2.8906106000375655,0.7128047839574535,-4.287682304602028,-1.4935388954731028,-4.055262626029321,5.007800529093673e-5,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Interpersonal psychotherapy (IPT) individual + AD,Exercise group + AD,Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6358661417774822,0.7394569322061857,-4.085175097020082,-1.1865571865348823,-3.564597242889209,3.644153303077319e-4,-2.6358661417774822,0.7394569322061857,-4.085175097020082,-1.1865571865348823,-3.564597242889209,3.644153303077319e-4,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Interpersonal psychotherapy (IPT) individual + placebo,Exercise group + AD,Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9318279366675517,0.7667004289513599,-4.434533164343628,-1.429122708991476,-3.823954997230801,1.3132789580886866e-4,-2.9318279366675517,0.7667004289513599,-4.434533164343628,-1.429122708991476,-3.823954997230801,1.3132789580886866e-4,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Light therapy,Exercise group + AD,Light therapy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5766840529026123,0.8268370862133841,-4.197254962962885,-0.95611314284234,-3.1163140791167177,0.0018312711504684291,-2.5766840529026123,0.8268370862133841,-4.197254962962885,-0.95611314284234,-3.1163140791167177,0.0018312711504684291,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Light therapy + AD,Exercise group + AD,Light therapy + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.240497738816177,0.7594116258605399,-3.7289171749438412,-0.752078302688513,-2.9503073992017437,0.003174579040469848,-2.240497738816177,0.7594116258605399,-3.7289171749438412,-0.752078302688513,-2.9503073992017437,0.003174579040469848,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Mindfulness or meditation group,Exercise group + AD,Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7991812824719808,1.0969225514632297,-1.3507474122257328,2.9491099771696945,0.7285667355511293,0.4662667325832422,0.7991812824719808,1.0969225514632297,-1.3507474122257328,2.9491099771696945,0.7285667355511293,0.4662667325832422,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Mirtazapine,Exercise group + AD,Mirtazapine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7512962293126395,0.64595619826584,-4.0173471135041,-1.4852453451211787,-4.259261288457143,2.0510360521146436e-5,-2.7512962293126395,0.64595619826584,-4.0173471135041,-1.4852453451211787,-4.259261288457143,2.0510360521146436e-5,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Music therapy group,Exercise group + AD,Music therapy group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.669693720954359,0.9804479107252011,-4.591336314693295,-0.7480511272154231,-2.7229327450753456,0.006470522878803617,-2.669693720954359,0.9804479107252011,-4.591336314693295,-0.7480511272154231,-2.7229327450753456,0.006470522878803617,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:No treatment,Exercise group + AD,No treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3318958493944484,0.6754885928221122,-4.655829163293429,-2.0079625354954675,-4.932571600468008,8.115401620358585e-7,-3.3318958493944484,0.6754885928221122,-4.655829163293429,-2.0079625354954675,-4.932571600468008,8.115401620358585e-7,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Peer support group,Exercise group + AD,Peer support group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0895548700472752,0.921899569418671,-3.8964448234708535,-0.28266491662369697,-2.2665753834388935,0.023416177285616454,-2.0895548700472752,0.921899569418671,-3.8964448234708535,-0.28266491662369697,-2.2665753834388935,0.023416177285616454,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Peer support group + AD,Exercise group + AD,Peer support group + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.968616148436734,0.9213068258316984,-3.774344345777779,-0.1628879510956891,-2.1367649660682693,0.032617112963652994,-1.968616148436734,0.9213068258316984,-3.774344345777779,-0.1628879510956891,-2.1367649660682693,0.032617112963652994,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Placebo,Exercise group + AD,Placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4466888998638607,0.635768760658474,-4.692772773250135,-2.2006050264775867,-5.4212932643844916,5.916939825212626e-8,-3.4466888998638607,0.635768760658474,-4.692772773250135,-2.2006050264775867,-5.4212932643844916,5.916939825212626e-8,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group + AD:Problem solving group,Exercise group + AD,Problem solving group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45135850146906087,0.8813588225046448,-2.1787900510347944,1.2760730480966727,-0.5121166203186015,0.6085693931595879,-0.45135850146906087,0.8813588225046448,-2.1787900510347944,1.2760730480966727,-0.5121166203186015,0.6085693931595879,NA,NA,NA,NA,NA,NA,NA,no data
