studyid,class,n,mean_change,sd_change,source
Andreoli 2002/Dubini 1997/Massana 1998_study 1,Placebo,128,-8.6,4.47,change_from_baseline
Andreoli 2002/Dubini 1997/Massana 1998_study 1,SSRIs,127,-13.3,4.6,change_from_baseline
Arean 1993,Problem solving group,19,-16.4,6.02245796996542,baseline_followup
Arean 1993,Waitlist,20,-0.399999999999999,5.07444578254611,baseline_followup
Arean 2010,Counselling individual,111,-8.62,6.55057249406493,baseline_followup
Arean 2010,Problem solving individual,110,-11.27,7.14825153446631,baseline_followup
Ashouri 2013,Any AD,13,-8.75,5.67072305795302,baseline_followup
Ashouri 2013,Cognitive and cognitive behavioural therapies individual + AD,20,-37.1,6.218174973414625,baseline_followup
Bakish 1992b,Placebo,56,-14.0073233346625,3.56,binary_response_converted
Bakish 1992b,TCAs,59,-14.0073233346625,3.43,binary_response_converted
Baldwin 2012,Placebo,145,-14.8,9.63,change_from_baseline
Baldwin 2012,SNRIs,149,-16.8,9.77,change_from_baseline
Basterzi 2009,SNRIs,21,-15.3,7.06611633077181,baseline_followup
Basterzi 2009,SSRIs,22,-13.6,7.03633427290091,baseline_followup
Baune 2018,Placebo,48,-8,8.38,change_from_baseline
Baune 2018,SSRIs,52,-15.96,8.58,change_from_baseline
Beach 1992,Cognitive and cognitive behavioural therapies individual,15,-17.4,7.36643740216395,baseline_followup
Beach 1992,Waitlist,15,-7.86,9.251535007770332,baseline_followup
Beasley 1991a,SSRIs,63,-12.2,7.2,change_from_baseline
Beasley 1991a,Trazodone,57,-13.9,7.7,change_from_baseline
Beasley 1993b,SSRIs,65,-12.9,9.9,change_from_baseline
Beasley 1993b,TCAs,71,-11.6,10.3,change_from_baseline
Benkert 1996,SNRIs,85,-14.007323334662502,6.2,binary_response_converted
Benkert 1996,TCAs,82,-14.007323334662498,5.7,binary_response_converted
Benkert 2000,Mirtazapine,139,-14.0073233346625,3.3,binary_response_converted
Benkert 2000,SSRIs,136,-14.0073233346625,3.2,binary_response_converted
Bersani 1994,SSRIs,31,-17,6.02577795807313,baseline_followup
Bersani 1994,TCAs,30,-16,5.56506963119061,baseline_followup
Bhargava 2012,SSRIs,30,-11.7,3.0882195517806,baseline_followup
Bhargava 2012,TCAs,30,-13.33,4.11519136857571,baseline_followup
Bielski 2004,SNRIs,98,-13.6,9.600000000000001,change_from_baseline
Bielski 2004,SSRIs,97,-15.9,10.3,change_from_baseline
Binnemann 2008,Placebo,31,-10.18,7.57,change_from_baseline
Binnemann 2008,SSRIs,30,-13.42,7.61,change_from_baseline
Bjerkenstedt 2005,Placebo,55,-9.7,7,change_from_baseline
Bjerkenstedt 2005,SSRIs,54,-8.9,8,change_from_baseline
Blackburn 1997,Any AD,38,-17.5,8.577295611088614,baseline_followup
Blackburn 1997,Cognitive and cognitive behavioural therapies individual,24,-9.5,6.2745517768204,baseline_followup
Blashki 1971,Placebo,18,-7.5,8.31384387633061,baseline_followup
Blashki 1971,TCAs,27,-23.6,7.094363960215177,baseline_followup
Blom 2007,Any AD,47,-6.4,8.67582849069759,baseline_followup
Blom 2007,Interpersonal psychotherapy (IPT) individual,50,-9.9,9.7923439482077,baseline_followup
Blom 2007,Interpersonal psychotherapy (IPT) individual + AD,49,-12.8,9.439809320108111,baseline_followup
Blom 2007,Interpersonal psychotherapy (IPT) individual + placebo,47,-11.099999999999998,10.6531685427388,baseline_followup
Blumenthal 2007/Hoffman 2011,Exercise group,51,-7.2,6.9,change_from_baseline
Blumenthal 2007/Hoffman 2011,Exercise individual,53,-7.099999999999999,6.9,change_from_baseline
Blumenthal 2007/Hoffman 2011,Placebo,49,-6.1,7.3,change_from_baseline
Blumenthal 2007/Hoffman 2011,SSRIs,49,-6.1,6.7,change_from_baseline
Bose 2008,Placebo,134,-10.6,10.42,change_from_baseline
Bose 2008,SSRIs,129,-12.1,10.22,change_from_baseline
Boulenger 2014,Placebo,158,-11.7,9.55,change_from_baseline
Boulenger 2014,SNRIs,146,-21.15,9.3,change_from_baseline
Bowman 1995,Self-help,20,-18.1,7.838367176906172,baseline_followup
Bowman 1995,Waitlist,10,-0.199999999999999,7.19652694012883,baseline_followup
Brannan 2005,Placebo,136,-10.27,7.809999999999999,change_from_baseline
Brannan 2005,SNRIs,132,-10.85,7.93,change_from_baseline
Burke 2002,Placebo,119,-9.4,9.82,change_from_baseline
Burke 2002,SSRIs,366,-38.7,15.981132625693338,change_from_baseline
Carman 1991,Placebo,48,-7.5,7.76,change_from_baseline
Carman 1991,TCAs,48,-13.5,7.76,change_from_baseline
Chang 2015,SNRIs,54,-17.2,7.4222638056054,baseline_followup
Chang 2015,SSRIs,58,-16.3,6.92026011071838,baseline_followup
Chiu 1996,SSRIs,15,-20.2,9.1,change_from_baseline
Chiu 1996,TCAs,15,-15.3,8.4,change_from_baseline
Choi 2012,Self-help with support,25,-12.28,8.92865611388411,baseline_followup
Choi 2012,Waitlist,30,0.440000000000001,7.72380735130026,baseline_followup
Choi 2014a/Choi 2014b,Attention placebo,36,-5.71,6.74005934691973,baseline_followup
Choi 2014a/Choi 2014b,Problem solving individual,85,-23.53,8.432858352895535,baseline_followup
Claghorn 1992a,Placebo,27,-4.59,9.35,change_from_baseline
Claghorn 1992a,SSRIs,32,-10.72,9.39,change_from_baseline
Claghorn 1992b,Placebo,27,-5.490000000000001,8.31,change_from_baseline
Claghorn 1992b,SSRIs,32,-11.44,8.32,change_from_baseline
Clayton 2006_study 1,Placebo,130,-12.1,7.9799999999999995,change_from_baseline
Clayton 2006_study 1,SSRIs,133,-14.2,8.07,change_from_baseline
Clayton 2006_study 2,Placebo,126,-11.9,7.86,change_from_baseline
Clayton 2006_study 2,SSRIs,133,-12.9,8.07,change_from_baseline
Clerc 1994,SNRIs,33,-22.8,10.7140095202496,baseline_followup
Clerc 1994,SSRIs,34,-15.7,13.228756555323,baseline_followup
Cohn 1990b,SSRIs,121,-13.3,7.76,change_from_baseline
