removed_study;component_id;component_reference;model_fit;reason;n_removed_studies;n_remaining_studies;frac_remaining_studies;n_estimable_treatments;max_abs_delta;median_abs_delta;p90_abs_delta
Wade 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0070;0,0009;0,0017
Mullin 1996;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0070;0,0007;0,0010
Kim 2011;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0069;0,0002;0,0004
Montgomery 1992;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0068;0,0046;0,0055
Hewett 2010;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0068;0,0017;0,0025
Detke 2002a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0067;0,0017;0,0023
Goldstein 2002;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0066;0,0047;0,0055
Silverstone 1994;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0062;0,0030;0,0035
Chiu 1996;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0061;0,0016;0,0027
Georgotas 1982;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0061;0,0030;0,0034
Philipp 1999;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0060;0,0029;0,0034
Kang 2009;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0060;0,0002;0,0004
Fava 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0059;0,0041;0,0049
Forest Laboratories 2010;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0059;0,0040;0,0048
Schweizer 1994;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0059;0,0025;0,0033
Leinonen 1999;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0058;0,0003;0,0008
Forest Laboratories 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0058;0,0039;0,0047
Katz 1990;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0057;0,0028;0,0032
Raskin 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0056;0,0014;0,0020
Bjerkenstedt 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0055;0,0038;0,0046
Bielski 2004;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0054;0,0007;0,0014
Paslakis 2010;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0054;0,0001;0,0004
Mulsant 1999;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0052;0,0013;0,0023
Zivkov 1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0051;0,0005;0,0011
FDA 244 (EMD 68 843-009);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0050;0,0034;0,0041
Boulenger 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0050;0,0015;0,0020
Stark 1985;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0050;0,0022;0,0032
Freed 1999;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0050;0,0009;0,0023
Study 89306 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0049;0,0035;0,0041
Staner 1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0049;0,0013;0,0022
Ratti 2011_study 096;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0049;0,0033;0,0039
Sir 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0049;0,0006;0,0012
Andreoli 2002/Dubini 1997/Massana 1998_study 1;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0048;0,0034;0,0040
Roose 2004;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0048;0,0032;0,0039
29060 07 001;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0046;0,0026;0,0030
NKD20006 (NCT00048204);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0046;0,0031;0,0038
McCallum 1975;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0046;0,0023;0,0026
Amsterdam 1986;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0046;0,0024;0,0027
Rickels 1992;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0046;0,0031;0,0037
Preskorn 1991;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0046;0,0011;0,0020
Mendels 1993;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0045;0,0012;0,0015
NCT01020799;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0045;0,0030;0,0036
Gual 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0045;0,0030;0,0036
Sheehan 2009b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0044;0,0030;0,0041
Clerc 1994;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0044;0,0006;0,0012
Valle-Cabrera 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0044;0,0030;0,0036
