comparison,TE,seTE,lower,upper,statistic,p,z
Light therapy:Waitlist,NA,NA,NA,NA,NA,NA,NA
Light therapy:Yoga group,NA,NA,NA,NA,NA,NA,NA
Light therapy:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Placebo,0.10779339961333645,0.8453565862203892,-1.549075063472355,1.7646618626990278,0.12751234374985293,0.8985349040309872,0.12751234374985293
Light therapy + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:SNRIs,0.17738637692866338,0.8472772639000247,-1.4832465452350234,1.8380192990923503,0.20936048267382076,0.8341668394032365,0.20936048267382076
Light therapy + AD:SSRIs,-0.3711284056414964,0.8443987819541625,-2.026119606861145,1.2838627955781519,-0.43951793106878595,0.6602862922906643,-0.43951793106878595
Light therapy + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Light therapy + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:No treatment,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Peer support group,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Placebo,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Self-help,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:SNRIs,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:SSRIs,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:TAU,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:TCAs,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Trazodone,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Waitlist,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Yoga group,NA,NA,NA,NA,NA,NA,NA
Mindfulness or meditation group:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:No treatment,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Peer support group,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Placebo,-0.19927757393773404,0.2943582275721312,-0.7762090985321561,0.37765395065668805,-0.6769899913495774,0.4984123046362886,-0.6769899913495774
Mirtazapine:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Self-help,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:SNRIs,-0.23176690333788066,0.3813618278570294,-0.979222351016022,0.5156885443402607,-0.607734928900039,0.5433632929398386,-0.607734928900039
Mirtazapine:SSRIs,0.05304745397770913,0.2590767096551607,-0.4547335661795462,0.5608284741349645,0.20475578081996243,0.8377629367619344,0.20475578081996243
Mirtazapine:TAU,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:TCAs,0.26422116284213865,0.2943320397648319,-0.31265903459314276,0.84110136027742,0.8976975902903689,0.3693467945003038,0.8976975902903689
Mirtazapine:Trazodone,0.3363770035660125,0.6307591064591214,-0.8998881280145308,1.5726421351465558,0.5332891750930474,0.5938334198295159,0.5332891750930474
Mirtazapine:Waitlist,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Yoga group,NA,NA,NA,NA,NA,NA,NA
Mirtazapine:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Music therapy group:No treatment,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Peer support group,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Placebo,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Self-help,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Music therapy group:SNRIs,NA,NA,NA,NA,NA,NA,NA
Music therapy group:SSRIs,NA,NA,NA,NA,NA,NA,NA
Music therapy group:TAU,NA,NA,NA,NA,NA,NA,NA
Music therapy group:TCAs,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Trazodone,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Waitlist,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Yoga group,NA,NA,NA,NA,NA,NA,NA
Music therapy group:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
No treatment:Peer support group,NA,NA,NA,NA,NA,NA,NA
No treatment:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
No treatment:Placebo,NA,NA,NA,NA,NA,NA,NA
No treatment:Problem solving group,NA,NA,NA,NA,NA,NA,NA
No treatment:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
No treatment:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
No treatment:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
No treatment:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
No treatment:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
No treatment:Self-help,-0.4994952581504307,0.7384501473524427,-1.9468309513395141,0.9478404350386528,-0.6764102626849837,0.49878020320924904,-0.6764102626849837
No treatment:Self-help with support,-0.2442149708026306,0.7344112526098865,-1.6836345757589557,1.1952046341536944,-0.33253162983922263,0.7394878600620693,-0.33253162983922263
No treatment:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
No treatment:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
No treatment:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
No treatment:SNRIs,NA,NA,NA,NA,NA,NA,NA
No treatment:SSRIs,-0.482412709535375,0.5254703770600446,-1.5123157235157445,0.5474903044449946,-0.9180588109160919,0.35858807717813196,-0.9180588109160919
No treatment:TAU,NA,NA,NA,NA,NA,NA,NA
No treatment:TCAs,NA,NA,NA,NA,NA,NA,NA
No treatment:Trazodone,NA,NA,NA,NA,NA,NA,NA
No treatment:Waitlist,NA,NA,NA,NA,NA,NA,NA
No treatment:Yoga group,NA,NA,NA,NA,NA,NA,NA
No treatment:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group:Placebo,NA,NA,NA,NA,NA,NA,NA
Peer support group:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Peer support group:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Peer support group:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Peer support group:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Peer support group:Self-help,NA,NA,NA,NA,NA,NA,NA
Peer support group:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Peer support group:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Peer support group:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Peer support group:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group:SNRIs,NA,NA,NA,NA,NA,NA,NA
Peer support group:SSRIs,NA,NA,NA,NA,NA,NA,NA
Peer support group:TAU,NA,NA,NA,NA,NA,NA,NA
Peer support group:TCAs,NA,NA,NA,NA,NA,NA,NA
Peer support group:Trazodone,NA,NA,NA,NA,NA,NA,NA
Peer support group:Waitlist,NA,NA,NA,NA,NA,NA,NA
Peer support group:Yoga group,NA,NA,NA,NA,NA,NA,NA
Peer support group:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Peer support group + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Placebo,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Placebo,0.0776926534630289,0.7477525561945493,-1.3878754260260502,1.543260732952108,0.10390155515939811,0.9172474729505288,0.10390155515939811
Psychoeducation group:Placebo,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Placebo,1.135168770568957,1.4384899988755278,-1.6842198193481395,3.9545573604860538,0.7891391469223437,0.4300306839602816,0.7891391469223437
Relaxation individual + placebo:Placebo,1.113570977315579,1.4116533185244577,-1.6532186856488067,3.8803606402799646,0.7888416813836051,0.4302045446059298,0.7888416813836051
Self-help:Placebo,NA,NA,NA,NA,NA,NA,NA
Self-help with support:Placebo,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:Placebo,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:Placebo,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
SNRIs:Placebo,-0.06531004045538968,0.15562976995635608,-0.3703387844921013,0.2397187035813219,-0.41965004814763174,0.6747411211775656,-0.41965004814763174
SSRIs:Placebo,0.04333494576500729,0.1282785729665593,-0.2080864372376423,0.2947563287676569,0.337819050858199,0.7354995525203167,0.337819050858199
TAU:Placebo,NA,NA,NA,NA,NA,NA,NA
TCAs:Placebo,0.07498435272593706,0.15851678641415942,-0.23570283959084348,0.3856715450427176,0.47303730047885406,0.6361865677308007,0.47303730047885406
Trazodone:Placebo,0.06886391529109526,0.456857565052939,-0.8265604582773298,0.9642882888595203,0.15073388416609793,0.8801856429098578,0.15073388416609793
Waitlist:Placebo,NA,NA,NA,NA,NA,NA,NA
Yoga group:Placebo,NA,NA,NA,NA,NA,NA,NA
Yoga group + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Self-help,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving group:SNRIs,NA,NA,NA,NA,NA,NA,NA
Problem solving group:SSRIs,NA,NA,NA,NA,NA,NA,NA
Problem solving group:TAU,NA,NA,NA,NA,NA,NA,NA
Problem solving group:TCAs,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Trazodone,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Waitlist,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Yoga group,NA,NA,NA,NA,NA,NA,NA
Problem solving group:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Self-help,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:SNRIs,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:SSRIs,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:TAU,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:TCAs,0.1922769428646095,0.7437211231357839,-1.2653896730232055,1.6499435587524243,0.25853365849541,0.7959950758949706,0.25853365849541
Problem solving individual:Trazodone,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Waitlist,1.5370195588045363,0.7203550843679014,0.12514953736313772,2.948889580245935,2.133697105994946,0.03286758312762219,2.133697105994946
Problem solving individual:Yoga group,NA,NA,NA,NA,NA,NA,NA
Problem solving individual:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Self-help,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:SNRIs,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:SSRIs,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:TAU,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:TCAs,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Trazodone,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Waitlist,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Yoga group,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Psychoeducation group + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:TCAs,-0.8926462790929429,1.3995373554269663,-3.635689090748229,1.850396532562343,-0.6378152577575303,0.5235939462318786,-0.6378152577575303
Relaxation individual + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Self-help,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:SNRIs,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:SSRIs,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:TAU,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:TCAs,-0.8774602658582119,1.3713839607586575,-3.5653234379210708,1.8104029062046467,-0.6398355901528816,0.5222794918831644,-0.6398355901528816
Relaxation individual + placebo:Trazodone,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Waitlist,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Yoga group,NA,NA,NA,NA,NA,NA,NA
Relaxation individual + placebo:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Self-help:Self-help with support,0.18088542906973262,0.7869322426797667,-1.3614734248559435,1.7232442829954087,0.22986150428117855,0.8181993905211246,0.22986150428117855
Self-help:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Self-help:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Self-help:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Self-help:SNRIs,NA,NA,NA,NA,NA,NA,NA
Self-help:SSRIs,NA,NA,NA,NA,NA,NA,NA
Self-help:TAU,NA,NA,NA,NA,NA,NA,NA
Self-help:TCAs,NA,NA,NA,NA,NA,NA,NA
Self-help:Trazodone,NA,NA,NA,NA,NA,NA,NA
Self-help:Waitlist,-0.8401316653855747,0.5215576914479377,-1.8623659564833868,0.18210262571223723,-1.610812531693701,0.10722058887590724,-1.610812531693701
Self-help:Yoga group,NA,NA,NA,NA,NA,NA,NA
Self-help:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Self-help with support:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Self-help with support:Short-term psychodynamic psychotherapies individual,0.74188781197071485,0.772480634505275,-0.7721464104142728,2.2559220343557023,0.9603966479313064,0.3368556245268968,0.9603966479313064
Self-help with support:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Self-help with support:SNRIs,NA,NA,NA,NA,NA,NA,NA
Self-help with support:SSRIs,NA,NA,NA,NA,NA,NA,NA
Self-help with support:TAU,NA,NA,NA,NA,NA,NA,NA
Self-help with support:TCAs,NA,NA,NA,NA,NA,NA,NA
Self-help with support:Trazodone,NA,NA,NA,NA,NA,NA,NA
Self-help with support:Waitlist,-0.18989069227870958,0.5508062952824014,-1.2694511934901505,0.8896698089327313,-0.3447504030093766,0.7302820222791228,-0.3447504030093766
Self-help with support:Yoga group,NA,NA,NA,NA,NA,NA,NA
Self-help with support:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:SNRIs,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:SSRIs,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:TAU,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:TCAs,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:Trazodone,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:Waitlist,1.518708984275217,0.8229911342292991,-0.09432399840997818,3.131741966960412,1.8453527882744838,0.0649862361478409,1.8453527882744838
Sham acupuncture:Yoga group,NA,NA,NA,NA,NA,NA,NA
Sham acupuncture:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:SNRIs,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:SSRIs,0.3110642953816372,0.7531112989133555,-1.1650067268387183,1.7871353176019926,0.4130389436866287,0.67957808155184,0.4130389436866287
Short-term psychodynamic psychotherapies individual:TAU,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:TCAs,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:Trazodone,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:Waitlist,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:Yoga group,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Short-term psychodynamic psychotherapies individual + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
SNRIs:SSRIs,-0.2973051780271504,0.15276256640441777,-0.5967143063657177,0.0021039503114168023,-1.9461913021287955,0.051631764339440805,-1.9461913021287955
SNRIs:TAU,NA,NA,NA,NA,NA,NA,NA
SNRIs:TCAs,0.19316326682243046,0.2514408075885795,-0.2996516602948508,0.6859781939397117,0.7682256061573515,0.44235316331600194,0.7682256061573515
