study,treatment,mean,std.dev,sampleSize
Khoshnab 2017,trt_039,-0.24589934834958044,1,15
Kim 2011,trt_026,-4.830111494711207,1,30
Kim 2011,trt_039,-4.830111494711207,1,30
Kinoshita 2009,trt_026,-3.459895543742677,1,200
Kinoshita 2009,trt_031,-0.922638811664714,1,70
Komulainen 2018,trt_031,-0.49861177748036045,1,15
Komulainen 2018,trt_039,-0.4306192623694021,1,17
Kramer 2014,trt_033,-1.1131872614237903,1,131
Kramer 2014,trt_048,-0.4852631848342542,1,132
Kranzler 2006_Group A,trt_031,-1.3301073641147434,1,100
Kranzler 2006_Group A,trt_039,-1.4963707846290863,1,89
Krejtz 2018,trt_005,-0.8533458840653864,1,25
Krejtz 2018,trt_040,-1.3513914671951237,1,26
Lam 2013,trt_011,-1.8371335389486787,1,48
Lam 2013,trt_039,-1.6733127138194974,1,51
Lam 2016,trt_023,-1.4759275881383034,1,32
Lam 2016,trt_024,-1.861431062652039,1,29
Lam 2016,trt_031,-0.7159350240969381,1,30
Lam 2016,trt_039,-0.9692658787773932,1,31
Legrand 2016,trt_003,-0.5924104934293498,1,10
Legrand 2016,trt_019,-2.4592891154687986,1,25
Leinonen 1999,trt_026,-3.302994177786483,1,136
Leinonen 1999,trt_039,-3.254657677623754,1,133
Levin 2013,trt_031,-2.038163462707442,1,52
Levin 2013,trt_038,-1.6952621419429277,1,51
Lindegaard 2019,trt_041,-2.1083682278005504,1,25
Lindegaard 2019,trt_048,-0.45987275329334787,1,25
Loo 2002,trt_031,-1.5992540163959907,1,139
Loo 2002,trt_039,-1.8843614902974322,1,147
Luo 1985,trt_001,-1.8507854934622463,1,27
Luo 1985,trt_046,-1.791843280294659,1,20
M/2020/0046 (Study 046),trt_031,-1.36094674556213,1,247
M/2020/0046 (Study 046),trt_039,-1.4792899408284022,1,243
M/2020/0046 (Study 047),trt_031,-1.3541681618414578,1,239
M/2020/0046 (Study 047),trt_039,-1.5820974564088321,1,242
MDF/29060/III/070/88/MC,trt_039,-2.3739909041286196,1,24
